en,zh
control panel,控制面板
Disk Cost,硬盘用度
end-to-end chain,connection/link
Flexible Authentication via Secure Tunneling,通过安全隧道的灵活验证
G.Bis,ADSL2
Often these changes will be automated or implicit,自动或隐式地
overnight batch jobs,夜间(进行的分)批处理工作
turn the tables on,扭转局面／转败为胜
what-if scenarios,假设分析方法/方案
wireless backhaul,无线回传
"a ""Day Zero"" attack",初始攻击
a branch facility,子网
a collection of standards-based TCP enhancements,一组基于标准的TCP增强功能
a meaningless exercise,一項無意義的舉動
a named server,命名服务器
a PBX overlay,(整个)PBX系统/网络
"a total coverage of 19,000 feet",总覆盖半径达19000英尺
activate new orders,着手工程施工或技术调试／着手实施订单工程
add to be the sum of the original waveform,原本信号波形的总和
addressing,涉及/涉足
adopt a mobile relationship,建立一种在可移动服务方面的合作关系
animal swing door,可任意出入的推拉门
Any wonder why some executives prefer to pick on IT budgets?,难怪有些主管将注意力集中在IT预算上
approach vendor selection with very fine granularity,仔细选择供货商
around,在...周围
as needs dictate,这些都是(具体)需要/求决定的
At a higher level,进而言之
at least two acceptable access point signals,可接收来自至少两个接入点的信号
back-off delays,等待延迟
"Bad, bad server. No donut for you.",坏，坏，坏服务器。不给你多纳圈吃。
bandwidth rate,带宽速率
Bluetooth profiles,蓝牙应用规范
bog down,琵....篊ㄓ
bridge,网桥/桥接器
"bring spinning, meaning random-access, advantages to archive and backup",(全息技术)能够为存档和备份带来旋转即随机存取的优点
broken RSS-feed,中断/断开
business case,商业理由
business enabler,业务促成因素/业务推动力(量)
but at this point it's every vendor for itself.,"到目前为止, 各厂商都是各自为政"
but don't get trapped by proprietary systems.,"不过,千万不要被这些专有系统捆住了手脚"
cabinet device numbers,"i personally lean to 压缩工具数量, relative disk..."
captured,检测
career-limiting move,自限前途的举动
cell sleeping,（蜂窝）小区休眠
Centre of Excellence,高级研发中心
chargeback,跟踪
colocate,并置/共置
computer problem,计算机问题
"configuration, provisioning",配置，自动配置
connection pins,连接插脚
control packet,控制分组
Cookie,Cookie
copper-fed,通过铜线传输的/铜线连接的
cross-pollination,相互承认
crossover cable,交叉电缆/交叉线/交越电缆
customer-requested solution of interest,客戶要求的相关解決方案
data extraction without detection,盗取数据
desktop disruption,桌面系统崩溃
develop trending information,收集/制作
dial-up connection,拨号连接/拨接/撥接/撥接上網/撥號連線
discrete multitone line coding,离散多音线路编码
distribution routine,分发例（行）程（序）
don’t ever ask for another one,就不要寻求（采用）另一个
each copper subscriber pair,每对用户铜线
embarrassingly parallel applications,~{!82;RWF=PP!9~}(embarrassingly parallel) ~{5DS&SC3LJ=~}
empirical evidence,经验证据
"engineering product realization, data services",工程产品实现、数据服务
enlist,纳入/涵盖
Entry Profile,输入配置文件
even if Web sites may take longer to render,即使网站速度可能会变慢
exit profile,皌竚ゅン
explicit,显式控制
explicit processors,显式处理器
extends the benefits of ××× to×××,将以太网的益处扩展到XXX
fabric switches,光纤交换机
find a silver lining in the security cloud,...(终于)在安全技术的迷云/雾中看到了一线希望
fluid-power,流体动力
flush image cache,刷新图片缓存
for managing backups from multiple PCs,管理多PC备份
found a home,找到了立足之地
this coincides suspiciously with,这似乎与...吻合
"this has very much been a bootstrap operation,",這就一直都是可以自行運作的項目
thumb memory,U盘/优盘
Timer algorithm,计时器算法
To be unique to ...,为。。。所独有
To only run three ports off a 48-port switch is overkill,对于一个拥有48个端口的交换机，如果你只开通其中三个端口，无疑是一种杀鸡用宰牛刀的行为
tolerance,容許
top-line,年销售额
total addressable market,潜在市场总额/有开发价值的市场总额
Trigger Questions,探究式問題
turnaround time,周期
uplink-downlink ratio,上行（链路）速度与下行（链路）速度之比
VLAN declarations,VLAN声明
wants to be clear--,想让大众知道/想明白无误地告诉大众
where calls reach them,在哪里接电话
wiring closet,布线/配线室
work around ...,暂时避开/绕过（那些问题）
control panel,控制面板
Disk Cost,硬盘用度
end-to-end chain,connection/link
Flexible Authentication via Secure Tunneling,通过安全隧道的灵活验证
G.Bis,ADSL2
Often these changes will be automated or implicit,自动或隐式地
overnight batch jobs,夜间(进行的分)批处理工作
turn the tables on,扭转局面／转败为胜
what-if scenarios,假设分析方法/方案
wireless backhaul,无线回传
"a ""Day Zero"" attack",初始攻击
a branch facility,子网
a collection of standards-based TCP enhancements,一组基于标准的TCP增强功能
a meaningless exercise,一項無意義的舉動
a named server,命名服务器
a PBX overlay,(整个)PBX系统/网络
"a total coverage of 19,000 feet",总覆盖半径达19000英尺
activate new orders,着手工程施工或技术调试／着手实施订单工程
add to be the sum of the original waveform,原本信号波形的总和
addressing,涉及/涉足
adopt a mobile relationship,建立一种在可移动服务方面的合作关系
animal swing door,可任意出入的推拉门
Any wonder why some executives prefer to pick on IT budgets?,难怪有些主管将注意力集中在IT预算上
approach vendor selection with very fine granularity,仔细选择供货商
around,在...周围
as needs dictate,这些都是(具体)需要/求决定的
At a higher level,进而言之
at least two acceptable access point signals,可接收来自至少两个接入点的信号
back-off delays,等待延迟
"Bad, bad server. No donut for you.",坏，坏，坏服务器。不给你多纳圈吃。
bandwidth rate,带宽速率
Bluetooth profiles,蓝牙应用规范
bog down,琵....篊ㄓ
bridge,网桥/桥接器
"bring spinning, meaning random-access, advantages to archive and backup",(全息技术)能够为存档和备份带来旋转即随机存取的优点
broken RSS-feed,中断/断开
business case,商业理由
business enabler,业务促成因素/业务推动力(量)
but at this point it's every vendor for itself.,"到目前为止, 各厂商都是各自为政"
but don't get trapped by proprietary systems.,"不过,千万不要被这些专有系统捆住了手脚"
gateway,简体：网关； 繁體：閘道器
GEO Site Failover,GEO网站故障转移
geometry of signals,信号的构造（模式，模型，特征）
gets around,gets around ... by = 以...解决问题
give a rip about,关心
"Global, Interoperable Broadband Wireless Networks: Extending WiMAX Technology to",全球交互式无线宽带网络:将WiMAX技术扩展到......
go out,發送出去
greenfield sites,开发中的新区
handshaking,（建立）同步（信息或数据）交换
Have Disk,从磁盘安装
have to assume,你必须意/认识到/你必须按。。。作打算
having a better feel for,更好地了解
heavyweight,庞大而复杂
high level of sophistication,先进技术
home gateway,家庭网关/家用信关
hooks,勾子
Horizons have narrowed for,前景不乐观
host switch,主交换机
hotspot,热点
in a more commercial way,用一种更商业化的方式
increase speed and reach,增加速率和覆盖范围
inline-powered devices,联机受电设备/装置
installation media,安装媒体
IP peering,IP对等操作
Is All Incoming E-mails,收到/发来的所有电子邮件
It has become a victim of its own success,受其功效之累
IT recycling dumpsters,废旧IT设备回收站
jailed account,被限制更改目录的账户
Kahn Consulting,卡恩咨询公司
Kyodo Life Insurance,Kyobo人寿保险公司
large office sites,大型集中办公场所
lengthy processes,需要很长时间才能完成的流程
Light Reload,轻量重载 轻量刷新
line of site,视距
locating a recipient's certificate,查找／查核收件方证书
log,运行日志
mainframe,主機
manual scripts,人工编写的脚本
map out,规划/制订
matrix board,矩阵接线板
mobile-tagging technology,手机标签技术
monolithic storage arrays,整体式存储阵列
more informative customer service,更丰富的客户服务
moving forward with,与。。。一同前进（进步）/转译：一直在开发/推行(公开源代码的某些公司）
nail,彻底了解/掌握/解决了...问题
National Telephone Cooperative Association(NTCA),国家电话协作协会
Navigation (RHS),右侧导航条
negotiate,权衡/比较
network retainability,网络的可保持性
network-wide level statistics,全网（络级）统计
No guidance for next year has been given.,没有提供明年的收益预期数字
offering,提供
on a block rate,整体费率/一口价费率/统一费率
other attributes,其它特长
output,结果
payload,有效负荷
peripheral,不明显
personally identifiable,可辨认个人身份的
PNG settings,PNG设置
Policy,策略
polybicarbonate,聚碳酸酯
port map,端口映射
power provisions,供电设备
program,程序
propositions marketing manager,市场策划经理
prospecting activity reports,潜在客户开发活动报告
provide the same bulk bandwidth,提供相同的海量带宽
Psli3 (Computer system),Psli3
PTT,电信公司
"radiate out toward windows, but not beyond.",向外辐射（传播）至窗口，但不出窗口（窗框）
radio frequency (RF) chain,射频链路
radio relay towers,无线电转播台/站/塔
raise a serious red flag for,给。。。发出一个危险(警告)信号
ratified ...for its Basic Security Profile,作为最基本的安全特征
rationalize,合理化
reconverge,重新收敛
reduced sign-on,减少登录次数
Remote desktop and application delivery,远程桌面和应用(程序)分发
represent sth as sth,"把...表达（表示,表现, 描绘）为..."
RF fingerprinting,射频（RF）指纹识别技术
"rip, mix, burn and share'",扒取、混成、烧碟和分享
routing,路由选择
rubber duck antenna,对讲机天线
run ...for extended periods,让...超时运行...
run naked,轻装上路/阵
running VoIP calls off-net,经营(互连)网外语音IP电话业务
Sandpiper Bay,Sandpiper Bay is a 27-hole Myrtle Beach golf course that offers a classic design
Secure e-mail was once a solution looking for a problem.,安全电邮曾一度是没有要针对(解决)的问题的一种解决方案(办法)/安全电邮曾一度处于有庙无和尚的状态/安全电子邮件方案曾一度无用武之地
security cameras,监控摄像机
security progress,安全进程
service policing,服务监管
significant scale,规模大
so far,迄今为止
So much for the theory.,"好吧,谈理论到此为止."
SOAP calls,SOAP调用
software block,软件模块
software hooks,软件挂钩
spoofed address,假地址/盗用别人的地址
spreadsheet calculations,报表计算
spur-of-the-moment,"一时冲动的, 立即的, 不加思索的"
step up to,升级／换代至
strong mutual authentication,强相互验证
suffer with,苦于
supplied as either server software or an appliance,作为服务器软件或硬件装置提供的
tab,标签、标签页或选项卡
take their heads out of the sand,正视现实
telecom groups,众多电信(集团)公司
telephone handset,电话机
terminal sessions to an AS/400,与AS/400（小型机）的终端对话/会话
test mobiles,测试手机
that,ê
that ties in the remaining Ethernet nodes,连接其余Ethernet节点的
That's smart.,那才是明智的做法
the band,带子
The language is purposefully kept vague to account for,因此其语言都有目的地保持宽泛，以便涵盖．．．
The last remaining old-style IT mechanical hold outs;,现世（“硕果”）仅存的老式机械IT老顽固
the scanty cost/capacity data,大容量下的低成本（费用）or 容量大费用低
the technological push for Voice over IP [VoIP],VoIP技術的推進（動）
they are just symptoms of something grander,它们只是冰山一角
thin,(分布/布网)稀疏的
